URL catégorie,Titres,Prix,Stock
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,It's Only the Himalayas,£45.17,In stock (19 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,See America: A Celebration of Our National Parks & Treasured Sites,£48.87,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,In stock (8 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Under the Tuscan Sun,£37.33,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,A Summer In Europe,£44.34,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,The Great Railway Bazaar,£30.54,In stock (6 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,A Year in Provence (Provence #1),£56.88,In stock (6 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,Neither Here nor There: Travels in Europe,£38.95,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,"1,000 Places to See Before You Die",£26.08,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Sharp Objects,£47.82,In stock (20 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,"In a Dark, Dark Wood",£19.63,In stock (18 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Past Never Ends,£56.50,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,A Murder in Time,£16.64,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Last Mile (Amos Decker #2),£54.21,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,That Darkness (Gardiner and Renner #1),£13.92,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Tastes Like Fear (DI Marnie Rome #3),£10.69,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,A Time of Torment (Charlie Parker #14),£48.35,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,A Study in Scarlet (Sherlock Holmes #1),£16.73,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Poisonous (Max Revere Novels #3),£26.80,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Most Wanted,£35.28,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Hide Away (Eve Duncan #20),£11.84,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Boar Island (Anna Pigeon #19),£59.48,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Widow,£27.26,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Playing with Fire,£13.71,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,Delivering the Truth (Quaker Midwife Mystery #1),£20.89,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Tipping the Velvet,£53.74,In stock (20 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,A Flight of Arrows (The Pathfinders #2),£55.53,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The House by the Lake,£36.95,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Mrs. Houdini,£30.25,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Marriage of Opposites,£28.08,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Glory over Everything: Beyond The Kitchen House,£45.84,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,"Love, Lies and Spies",£20.55,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,A Paris Apartment,£39.01,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Lilac Girls,£17.28,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Constant Princess (The Tudor Court #1),£16.62,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Invention of Wings,£37.34,In stock (6 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,World Without End (The Pillars of the Earth #2),£32.97,In stock (5 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Passion of Dolssa,£28.32,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Girl With a Pearl Earring,£26.77,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Voyager (Outlander #3),£21.07,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Red Tent,£35.66,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Last Painting of Sara de Vos,£55.55,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,The Guernsey Literary and Potato Peel Pie Society,£49.53,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,Girl in the Blue Coat,£46.83,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock (19 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,This One Summer,£19.49,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,The Nameless City (The Nameless City #1),£38.16,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Pop Gun War, Volume 1: Gift",£18.97,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,Patience,£10.16,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,I am a Hero Omnibus Volume 1,£54.63,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,Danganronpa Volume 1,£51.99,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,Camp Midnight,£17.08,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Secret Garden,£15.08,In stock (5 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Metamorphosis,£28.58,In stock (5 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Pilgrim's Progress,£50.26,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Little Women (Little Women #1),£28.07,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Gone with the Wind,£32.49,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Candide,£58.63,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Animal Farm,£57.22,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Wuthering Heights,£17.73,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Picture of Dorian Gray,£29.70,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Beowulf,£38.35,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,And Then There Were None,£35.01,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Story of Hong Gildong,£43.19,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,The Little Prince,£45.42,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Sense and Sensibility,£37.46,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Of Mice and Men,£47.11,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Emma,£32.93,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,Sophie's World,£15.94,In stock (18 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,The Death of Humanity: and the Case for Life,£58.11,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,The Stranger,£17.44,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,In stock (8 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,Kierkegaard: A Christian Missionary to Christians,£47.13,In stock (8 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,Critique of Pure Reason,£20.75,In stock (5 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,In stock (2 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,The Nicomachean Ethics,£36.34,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,Meditations,£25.89,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,Beyond Good and Evil,£43.38,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Chase Me (Paris Nights #2),£25.27,In stock (19 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Black Dust,£34.53,In stock (19 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Her Backup Boyfriend (The Sorensen Family #1),£33.97,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,First and First (Five Boroughs #3),£15.97,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Fifty Shades Darker (Fifty Shades #2),£21.96,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Wedding Dress,£24.12,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Suddenly in Love (Lake Haven #1),£55.99,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Something More Than This,£16.24,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Doing It Over (Most Likely To #1),£35.61,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Wedding Pact (The O'Malleys #2),£32.61,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Hold Your Breath (Search and Rescue #1),£28.82,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Dirty (Dive Bar #1),£40.83,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Take Me Home Tonight (Rock Star Romance #3),£53.98,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Off the Hook (Fishing for Trouble #1),£47.67,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,A Gentleman's Position (Society of Gentlemen #3),£14.75,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,"Sit, Stay, Love",£20.90,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,A Girl's Guide to Moving On (New Beginnings #2),£31.30,In stock (5 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Perfect Play (Play by Play #1),£59.99,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Dark Lover (Black Dagger Brotherhood #1),£12.87,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,Changing the Game (Play by Play #2),£13.38,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Will You Won't You Want Me?,£13.86,In stock (12 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Keep Me Posted,£20.46,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Grey (Fifty Shades #4),£48.49,In stock (11 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Meternity,£43.58,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Some Women,£13.73,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Shopaholic Ties the Knot (Shopaholic #3),£48.39,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Can You Keep a Secret?,£21.94,In stock (4 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Twenties Girl,£42.80,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,The Undomestic Goddess,£45.75,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,The Nanny Diaries (Nanny #1),£52.53,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,The Devil Wears Prada (The Devil Wears Prada #1),£44.29,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Something Borrowed (Darcy & Rachel #1),£48.96,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Something Blue (Darcy & Rachel #2),£54.62,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,I've Got Your Number,£19.69,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,The Edge of Reason (Bridget Jones #2),£19.18,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,Bridget Jones's Diary (Bridget Jones #1),£29.82,In stock (1 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Soumission,£50.10,In stock (20 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Private Paris (Private #10),£47.61,In stock (17 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,"We Love You, Charlie Freeman",£50.27,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Thirst,£17.27,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Murder That Never Was (Forensic Instincts #5),£54.11,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Tuesday Nights in 1980,£21.04,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Vacationers,£42.15,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Regional Office Is Under Attack!,£51.36,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Finders Keepers (Bill Hodges Trilogy #2),£53.53,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Time Keeper,£27.88,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The Testament of Mary,£52.67,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,The First Hostage (J.B. Collins #2),£25.85,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Take Me with You,£45.21,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Still Life with Bread Crumbs,£26.41,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Shtum,£55.84,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,My Name Is Lucy Barton,£41.56,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,My Mrs. Brown,£24.48,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,I Am Pilgrim (Pilgrim #1),£10.60,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,Eligible (The Austen Project #4),£27.09,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Birdsong: A Story in Pictures,£54.64,In stock (19 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The Bear and the Piano,£36.89,In stock (18 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The Secret of Dreadwillow Carse,£56.13,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Little Red,£13.47,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Walt Disney's Alice in Wonderland,£12.96,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Twenty Yawns,£22.08,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Rain Fish,£23.57,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Once Was a Time,£18.28,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Luis Paints the World,£53.95,In stock (14 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Nap-a-Roo,£25.08,In stock (9 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The Whale,£35.96,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",£52.87,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Raymie Nightingale,£34.41,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Playing from the Heart,£32.38,In stock (7 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,Maybe Something Beautiful: How Art Transformed a Neighborhood,£22.54,In stock (5 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The Wild Robot,£56.07,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The Thing About Jellyfish,£48.77,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The Lonely Ones,£43.59,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,The Day the Crayons Came Home (Crayons),£26.33,In stock (3 available)
https://books.toscrape.com/catalogue/category/books/religion_12/index.html,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,In stock (16 available)
https://books.toscrape.com/catalogue/category/books/religion_12/index.html,You Are What You Love: The Spiritual Power of Habit,£21.87,In stock (15 available)
https://books.toscrape.com/catalogue/category/books/religion_12/index.html,God: The Most Unpleasant Character in All Fiction,£30.03,In stock (14 available)
